Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,4,14,30,120,50,136,6,8,72.29,0.070100002,2.3,2.839,47.8,100,8,1000
2015,1,4,15,0,49,0,49,6,8,75.86,0.070100002,2.2,2.813,39.1,100,8,1000
2015,1,4,15,30,51,0,51,6,7,79.87,0.070100002,2.1,2.83,39.1,100,7,1000
2015,1,4,16,0,25,0,25,6,7,84.26,0.070100002,2.1,2.847,37.1,100,7,1000
2015,1,4,16,30,4,0,4,6,7,88.95,0.070100002,1.9,2.926,37.1,100,7,1000
2015,1,4,17,0,0,0,0,6,7,93.9,0.070100002,1.7,3.005,37.6,100,7,1000
2015,1,4,17,30,0,0,0,6,7,99.07,0.070100002,1.7,3.013,37.6,100,7,1000
2015,1,4,18,0,0,0,0,6,7,104.4,0.070100002,1.7,3.021,49.9,100,7,1000
2015,1,4,18,30,0,0,0,6,7,109.87,0.070100002,1.7,2.941,49.9,100,7,1000
2015,1,4,19,0,0,0,0,7,7,115.44,0.070100002,1.8,2.861,68.4,100,7,1000
2015,1,4,19,30,0,0,0,7,7,121.08,0.070100002,1.7,2.767,68.4,100,7,1000
2015,1,4,20,0,0,0,0,8,7,126.75,0.070100002,1.7,2.674,95.8,100,7,1000
2015,1,4,20,30,0,0,0,7,7,132.42,0.070100002,1.9,2.366,95.8,100,7,1000
2015,1,4,21,0,0,0,0,7,7,138.03,0.070100002,2.2,2.059,111.3,100,7,1000
2015,1,4,21,30,0,0,0,7,6,143.52,0.070100002,2.3,1.755,111.3,100,6,1000
2015,1,4,22,0,0,0,0,7,5,148.78,0.070100002,2.5,1.451,104.7,97.75,6,1000
